epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1094.64,0.85352,0.43735,0.88806,0.88132,0.76425,0.80867,0.56662,0.95819,0.59164,0.95289,0.000466997,0.000466997,0.000466997
70,1109.59,0.86086,0.43974,0.88472,0.80772,0.75505,0.79672,0.5534,0.98162,0.60624,0.96732,0.00045285,0.00045285,0.00045285
71,1124.43,0.84649,0.43054,0.89214,0.86535,0.77477,0.82716,0.56683,0.98445,0.56227,0.96568,0.000438703,0.000438703,0.000438703
72,1139.25,0.83898,0.4282,0.88531,0.89756,0.75904,0.82661,0.57518,0.98496,0.58692,0.96734,0.000424556,0.000424556,0.000424556
73,1154.14,0.81668,0.4187,0.88571,0.80629,0.73123,0.77432,0.53296,0.98031,0.61444,0.96498,0.000410409,0.000410409,0.000410409
74,1169.07,0.83336,0.42975,0.89428,0.82324,0.80298,0.82703,0.56093,0.99049,0.56325,0.96678,0.000396262,0.000396262,0.000396262
75,1184.01,0.84203,0.42747,0.88212,0.82588,0.77924,0.80303,0.5562,0.98913,0.58696,0.9677,0.000382115,0.000382115,0.000382115
76,1198.87,0.83073,0.41837,0.8779,0.83002,0.77169,0.82304,0.56689,0.99259,0.55902,0.969,0.000367967,0.000367967,0.000367967
77,1213.67,0.81026,0.41481,0.88096,0.85842,0.73254,0.80338,0.55398,1.00389,0.61944,0.9763,0.00035382,0.00035382,0.00035382
78,1228.43,0.82718,0.42133,0.89038,0.77845,0.79583,0.81062,0.55497,1.001,0.60387,0.96866,0.000339673,0.000339673,0.000339673
79,1243.25,0.80889,0.41676,0.88133,0.88541,0.74259,0.81261,0.5551,0.98628,0.61276,0.96581,0.000325526,0.000325526,0.000325526
80,1258.06,0.81403,0.41837,0.88597,0.89989,0.75002,0.82007,0.56081,0.98198,0.57536,0.96027,0.000311379,0.000311379,0.000311379
81,1272.85,0.81966,0.41325,0.87863,0.87745,0.77017,0.81143,0.55761,0.98214,0.59306,0.96535,0.000297232,0.000297232,0.000297232
82,1287.75,0.80448,0.40593,0.87726,0.86257,0.73567,0.80081,0.55525,0.99327,0.58887,0.96677,0.000283085,0.000283085,0.000283085
83,1302.61,0.78281,0.39708,0.87571,0.88619,0.73126,0.79156,0.53922,0.9928,0.62531,0.97058,0.000268938,0.000268938,0.000268938
84,1317.45,0.80322,0.4067,0.87948,0.88968,0.77637,0.82861,0.56476,0.99249,0.60146,0.97008,0.000254791,0.000254791,0.000254791
85,1332.25,0.76757,0.39036,0.87403,0.86733,0.74625,0.80604,0.56088,0.99021,0.58694,0.97423,0.000240644,0.000240644,0.000240644
86,1347.04,0.76299,0.39259,0.87282,0.85875,0.76304,0.80525,0.55482,0.97667,0.60032,0.96147,0.000226497,0.000226497,0.000226497
87,1361.89,0.78597,0.40903,0.87436,0.85334,0.76872,0.81374,0.56479,0.98071,0.61662,0.96189,0.000212349,0.000212349,0.000212349
88,1376.84,0.75932,0.38933,0.8768,0.89805,0.72935,0.81063,0.56215,0.9835,0.58918,0.96865,0.000198202,0.000198202,0.000198202
89,1391.72,0.75427,0.37713,0.86805,0.88167,0.76428,0.83221,0.57522,0.98809,0.58509,0.96511,0.000184055,0.000184055,0.000184055
90,1406.66,0.75474,0.38006,0.8751,0.82751,0.78988,0.80553,0.562,0.98203,0.59452,0.96157,0.000169908,0.000169908,0.000169908
91,1420.97,0.77473,0.3743,0.86737,0.85308,0.75032,0.81603,0.56113,0.97774,0.53494,0.95825,0.000155761,0.000155761,0.000155761
92,1435.29,0.74783,0.36163,0.85766,0.86909,0.7902,0.83645,0.58561,0.96203,0.53074,0.95662,0.000141614,0.000141614,0.000141614
93,1449.62,0.7494,0.35787,0.85851,0.85271,0.72039,0.79447,0.54682,0.98242,0.57456,0.96233,0.000127467,0.000127467,0.000127467
94,1463.89,0.71704,0.34457,0.85295,0.85585,0.73192,0.79089,0.54435,0.98658,0.59807,0.96514,0.00011332,0.00011332,0.00011332
95,1478.12,0.73167,0.3487,0.85767,0.88138,0.73188,0.80054,0.55179,0.98262,0.57967,0.96277,9.91726e-05,9.91726e-05,9.91726e-05
96,1492.32,0.70897,0.33426,0.84889,0.92751,0.71257,0.80288,0.55517,0.98571,0.56688,0.96367,8.50255e-05,8.50255e-05,8.50255e-05
97,1506.6,0.71205,0.34021,0.84346,0.89396,0.69991,0.79351,0.55309,0.97648,0.57069,0.96036,7.08784e-05,7.08784e-05,7.08784e-05
98,1520.84,0.71272,0.33677,0.85074,0.8867,0.71418,0.79473,0.55518,0.97822,0.57824,0.96026,5.67313e-05,5.67313e-05,5.67313e-05
99,1535.06,0.71998,0.33699,0.84919,0.89614,0.71381,0.79465,0.55818,0.96841,0.57556,0.95792,4.25842e-05,4.25842e-05,4.25842e-05
100,1549.32,0.72449,0.34244,0.8536,0.8939,0.71299,0.79785,0.55634,0.96756,0.56717,0.95618,2.84371e-05,2.84371e-05,2.84371e-05
