epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1399.55,0.85658,0.45193,0.88929,0.92147,0.70831,0.84155,0.57976,0.97694,0.49619,0.95094,0.000834822,0.000834822,0.000834822
86,1417.3,0.8704,0.44693,0.89354,0.87602,0.76521,0.85251,0.58311,0.97526,0.5042,0.95103,0.000827748,0.000827748,0.000827748
87,1435.05,0.82507,0.43121,0.89239,0.9518,0.74114,0.86609,0.59563,0.98005,0.51123,0.9514,0.000820675,0.000820675,0.000820675
88,1453.13,0.85916,0.44693,0.89244,0.80983,0.75831,0.83571,0.571,1.00712,0.50311,0.96802,0.000813601,0.000813601,0.000813601
89,1471.19,0.84682,0.4412,0.8908,0.84543,0.70285,0.82646,0.56831,0.98664,0.51023,0.95223,0.000806528,0.000806528,0.000806528
90,1488.22,0.87685,0.46047,0.90086,0.93894,0.69659,0.83681,0.56783,0.99046,0.52627,0.94972,0.000799454,0.000799454,0.000799454
91,1505.25,0.85785,0.45248,0.8914,0.86645,0.79314,0.84417,0.5793,0.98624,0.51396,0.94852,0.00079238,0.00079238,0.00079238
92,1522.2,0.83943,0.42197,0.88747,0.89957,0.78013,0.8731,0.61207,0.97408,0.49233,0.94683,0.000785307,0.000785307,0.000785307
93,1540.06,0.82545,0.43232,0.88441,0.87877,0.74518,0.83958,0.58019,0.99843,0.49563,0.96001,0.000778233,0.000778233,0.000778233
94,1558.08,0.84366,0.43614,0.88777,0.84078,0.70889,0.83802,0.58138,0.9816,0.5006,0.94099,0.00077116,0.00077116,0.00077116
95,1576.34,0.83759,0.43867,0.88846,0.838,0.74321,0.84411,0.59019,0.96417,0.49871,0.93505,0.000764086,0.000764086,0.000764086
96,1594.41,0.81829,0.4328,0.89031,0.89023,0.72678,0.82254,0.56838,0.9887,0.50726,0.95249,0.000757013,0.000757013,0.000757013
97,1611.93,0.85216,0.44134,0.88021,0.83958,0.78211,0.86633,0.60353,0.98362,0.48704,0.95363,0.000749939,0.000749939,0.000749939
98,1630.29,0.82267,0.43363,0.88443,0.86015,0.77141,0.87527,0.60401,0.96579,0.47655,0.94326,0.000742866,0.000742866,0.000742866
99,1648.28,0.82653,0.43307,0.89201,0.90835,0.79444,0.85193,0.58197,0.97644,0.48835,0.94715,0.000735792,0.000735792,0.000735792
100,1666.21,0.82437,0.43117,0.8881,0.88392,0.80024,0.86692,0.58775,0.99296,0.50548,0.94916,0.000728719,0.000728719,0.000728719
101,1683.32,0.81745,0.42146,0.88667,0.89197,0.82524,0.86171,0.59313,0.98806,0.49516,0.94848,0.000721645,0.000721645,0.000721645
102,1701.37,0.81872,0.42442,0.88498,0.79859,0.82862,0.85617,0.59194,0.98534,0.49112,0.95216,0.000714571,0.000714571,0.000714571
103,1719.66,0.81798,0.42596,0.87951,0.87503,0.8327,0.87504,0.6034,0.97512,0.49565,0.94826,0.000707498,0.000707498,0.000707498
104,1737.16,0.81741,0.43048,0.88316,0.93303,0.79687,0.88852,0.60296,0.99126,0.4876,0.95836,0.000700424,0.000700424,0.000700424
105,1754.28,0.79431,0.42193,0.87963,0.88797,0.75426,0.84142,0.58076,0.99924,0.53046,0.95811,0.000693351,0.000693351,0.000693351
106,1771.46,0.79124,0.41688,0.87891,0.90427,0.77572,0.86683,0.5947,1.00181,0.4971,0.96024,0.000686277,0.000686277,0.000686277
107,1789.34,0.80745,0.41995,0.87622,0.88567,0.76631,0.86319,0.59027,0.98898,0.48246,0.95233,0.000679204,0.000679204,0.000679204
108,1807.24,0.81047,0.41737,0.87918,0.92173,0.77732,0.87022,0.59138,1.01041,0.49404,0.96495,0.00067213,0.00067213,0.00067213
109,1825.16,0.79696,0.41191,0.87563,0.88089,0.78187,0.87211,0.59177,1.00519,0.50147,0.96281,0.000665057,0.000665057,0.000665057
110,1843.12,0.80041,0.41321,0.87784,0.89159,0.79984,0.8732,0.59379,0.98779,0.53215,0.95864,0.000657983,0.000657983,0.000657983
111,1861.01,0.7887,0.41105,0.87263,0.8871,0.77108,0.86528,0.59493,0.98391,0.51932,0.95884,0.000650909,0.000650909,0.000650909
112,1879.05,0.80732,0.41366,0.88329,0.94264,0.77531,0.89724,0.61867,0.98611,0.47704,0.95626,0.000643836,0.000643836,0.000643836
113,1896.84,0.79848,0.40828,0.87396,0.90414,0.80871,0.87223,0.60843,0.98688,0.49656,0.96083,0.000636762,0.000636762,0.000636762
114,1914.87,0.79344,0.40217,0.87984,0.9025,0.76826,0.86964,0.60521,0.97132,0.49478,0.94815,0.000629689,0.000629689,0.000629689
115,1933.8,0.77791,0.40009,0.87759,0.8641,0.78269,0.87033,0.59979,0.99281,0.50301,0.95033,0.000622615,0.000622615,0.000622615
116,1951.79,0.77186,0.3986,0.86979,0.92982,0.76625,0.87394,0.60741,0.97719,0.49743,0.94469,0.000615542,0.000615542,0.000615542
117,1969.83,0.78462,0.40467,0.86943,0.92629,0.7868,0.86622,0.59041,0.97733,0.48875,0.944,0.000608468,0.000608468,0.000608468
