epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1167.37,0.81673,0.4206,0.88748,0.82499,0.80768,0.86655,0.62553,0.95472,0.48843,0.93105,0.000382115,0.000382115,0.000382115
76,1182.72,0.81494,0.41262,0.88278,0.86081,0.7814,0.85873,0.60831,0.95495,0.48975,0.93477,0.000367967,0.000367967,0.000367967
77,1198.18,0.80128,0.41489,0.88369,0.85297,0.83986,0.88048,0.62604,0.97245,0.49159,0.93965,0.00035382,0.00035382,0.00035382
78,1213.62,0.80591,0.41738,0.88463,0.85815,0.79233,0.84187,0.60021,0.96473,0.49563,0.93915,0.000339673,0.000339673,0.000339673
79,1229.04,0.79929,0.40781,0.87515,0.91624,0.80332,0.87434,0.62159,0.96044,0.4803,0.93743,0.000325526,0.000325526,0.000325526
80,1244.48,0.80845,0.41179,0.87717,0.8857,0.77452,0.86107,0.61908,0.96712,0.48124,0.94073,0.000311379,0.000311379,0.000311379
81,1260.19,0.80021,0.41002,0.87658,0.82895,0.83029,0.87821,0.62599,0.9653,0.47296,0.94332,0.000297232,0.000297232,0.000297232
82,1275.67,0.76858,0.39508,0.88955,0.8845,0.73478,0.83789,0.60313,0.97329,0.50789,0.94713,0.000283085,0.000283085,0.000283085
83,1291.17,0.78316,0.39505,0.87957,0.90816,0.77423,0.8628,0.61427,0.97304,0.47489,0.93947,0.000268938,0.000268938,0.000268938
84,1306.6,0.76103,0.38801,0.87489,0.91718,0.74525,0.86046,0.6124,0.95905,0.48245,0.93754,0.000254791,0.000254791,0.000254791
85,1322.16,0.7697,0.39261,0.86885,0.84129,0.79598,0.86985,0.6117,0.97287,0.48383,0.94949,0.000240644,0.000240644,0.000240644
86,1337.93,0.77981,0.3929,0.87203,0.8781,0.78851,0.85445,0.60467,0.9601,0.471,0.94236,0.000226497,0.000226497,0.000226497
87,1353.53,0.75254,0.37828,0.87295,0.87986,0.78068,0.85727,0.61579,0.96689,0.47896,0.94168,0.000212349,0.000212349,0.000212349
88,1369.3,0.76993,0.38932,0.86897,0.87586,0.81073,0.86547,0.61912,0.97632,0.47968,0.9479,0.000198202,0.000198202,0.000198202
89,1384.97,0.75823,0.38507,0.87016,0.82457,0.85375,0.87877,0.63031,0.96696,0.47563,0.9414,0.000184055,0.000184055,0.000184055
90,1400.83,0.77016,0.3971,0.87399,0.87102,0.74692,0.84944,0.6055,0.96158,0.48865,0.93739,0.000169908,0.000169908,0.000169908
91,1416.03,0.74539,0.36477,0.85739,0.83474,0.83407,0.8674,0.62549,0.96964,0.48103,0.94168,0.000155761,0.000155761,0.000155761
92,1431.03,0.74738,0.35509,0.85296,0.84332,0.84572,0.88446,0.63152,0.97485,0.47639,0.94327,0.000141614,0.000141614,0.000141614
93,1445.92,0.74185,0.34736,0.85783,0.88345,0.76385,0.85283,0.62187,0.96674,0.47483,0.94273,0.000127467,0.000127467,0.000127467
94,1460.7,0.72117,0.34262,0.85504,0.85366,0.77812,0.85566,0.62056,0.95744,0.47308,0.93946,0.00011332,0.00011332,0.00011332
95,1475.95,0.71582,0.3391,0.85334,0.88908,0.76737,0.86162,0.62204,0.9588,0.47105,0.93773,9.91726e-05,9.91726e-05,9.91726e-05
96,1490.89,0.69721,0.32942,0.84909,0.85771,0.82399,0.87488,0.63185,0.96564,0.47195,0.94429,8.50255e-05,8.50255e-05,8.50255e-05
97,1506.12,0.70488,0.33468,0.86181,0.87023,0.8336,0.8788,0.63889,0.95661,0.46595,0.93953,7.08784e-05,7.08784e-05,7.08784e-05
98,1521.29,0.70425,0.33146,0.85203,0.84578,0.82795,0.87616,0.63327,0.9619,0.46601,0.94133,5.67313e-05,5.67313e-05,5.67313e-05
99,1536.05,0.69318,0.33182,0.85172,0.90397,0.77831,0.87339,0.62519,0.96851,0.46852,0.94464,4.25842e-05,4.25842e-05,4.25842e-05
100,1550.8,0.70776,0.33336,0.85562,0.89087,0.78454,0.86905,0.62457,0.96297,0.46863,0.94255,2.84371e-05,2.84371e-05,2.84371e-05
